,age,city,country,from_id,id,miss,sex,text
FALSE,28,Москва,Россия,100063864.0,7735403.0,из россии,2,"[id408798795|Дмитрий], нет, у Гослинга из россии 1 вич!"
FALSE,None,None,Россия,100322868.0,1972341.0,из Сан-Марино,2,"[id298822510|Дмитрий], конечно не победи, первое место автоматически уже занял Серхат из Сан-Марино"
FALSE,23,Санкт-Петербург,Россия,10032938.0,2341492.0,из Литвы,1,Что за дура из Литвы??
FALSE,None,None,Россия,100436631.0,2113252.0,из Украины,1,"[id380542159|Афег], вот кто бы говорил, но не быдло из Украины, которому ""лучшая"" страна не смогла предоставить элементарное образование."
FALSE,33,Ростов-на-Дону,Россия,10051886.0,330905.0,из Индии,1,"Доброго времени суток. Так случилось, что у нас есть 12 свободных часов в Дубаи по пути из Индии домой. Раз уж виза бесплатна, хотелось бы посмотреть Дубаи. Может кто-нибудь подскажет, как сьездить из аэропорта в город на обзорку на автобусах и как добраться до знаменитого аквариума."
FALSE,29,Москва,Россия,1006154.0,354499.0,Из Москвы,1,"[id218929040|Инесса], ездили с тремя детьми 4-5 лет, правда на машине. Из Москвы, проехали весь наш Юг от Тамани до Сочи и обратно. Вспоминают, конечно, в силу возраста какие-нибудь шишки в канаве подобранные, а не виды, но что взрослые, что дети вернулись счастливые и отдохнувшие.
Сомневаюсь, что в Европе сложнее, чем в Геленджике, найти по дороге тёплый душ и продуктовый магазин. Так что _достаточно_ комфортные условия организовать не так уж сложно.
То, что режим надо тщательнее продумывать (время в пути, время стоянок) - так это ясно с любым ребенком, но по моему опыту в гостиничном номере с детьми сложнее, чем в полупоходных условиях."
FALSE,19,Москва,Россия,100623165.0,1942975.0,из Армении,1,"И ставки тоже бред, обвчно вообще все наоборот выходить, в 2014 на Арама из Армении ставили все кругом и всюду, а кончита в итоге прорвалась ппц"
FALSE,47,Санкт-Петербург,Россия,100784713.0,2327404.0,из Португалии,2,Парень из Португалии пока лучший!
FALSE,25,Калининград,Россия,100873253.0,2019882.0,из России,2,"Украинка понравилась буду болеть за второе место, первое Серёжке, даже если бы я был не из России😃"
FALSE,None,Королёв,Россия,10099687.0,357256.0,из Москвы,1,"[id5873081|Александр], позже я выложу видео, где расскажу, как мы ездили. Мы ехали на машине. Перелёт из Москвы стоил 8 тыс в одну сторону. На машине столько же примерно на бенз ушло, но ехали мы вчетвером. С хостелами тоже по разному. Я квартиру сняла двухкомнатную на airbnb за трое суток - 5 тыс р."
